2310 22744
1 1497 51
2 2123 72
3 884 69
4 2283 60
5 860 84
6 1423 42
7 1442 18
8 2070 57
9 1473 39
10 369 60
11 1728 51
12 1521 36
13 164 24
14 649 66
15 1994 72
16 1208 42
17 1350 9
18 2058 54
19 13 18
20 786 84
21 1664 63
22 2041 57
23 1730 6
24 272 84
25 1609 33
26 1278 48
27 1974 12
28 1321 9
29 1182 66
30 2300 69
31 653 66
32 1052 72
33 1013 63
34 1398 81
35 1241 69
36 6 39
37 2128 69
38 399 30
39 185 78
40 2174 27
41 1198 6
42 1401 75
43 1474 12
44 364 15
45 738 18
46 177 51
47 537 57
48 1458 21
49 2275 12
50 1961 3
51 63 63
52 2170 51
53 1606 15
54 2122 36
55 160 39
56 1688 36
57 2030 39
58 254 21
59 2118 60
60 1349 42
61 1306 33
62 1746 84
63 1013 9
64 1260 84
65 689 15
66 713 9
67 1721 45
68 1438 3
69 1765 60
70 340 3
71 2294 72
72 625 36
73 968 39
74 2133 9
75 675 72
76 1855 84
77 1339 6
78 2074 3
79 1644 63
80 931 9
81 148 18
82 14 78
83 1714 81
84 1851 81
85 1560 12
86 2185 15
87 1491 51
88 1067 45
89 1599 81
90 1494 57
91 2256 3
92 793 15
93 1699 63
94 1833 18
95 1494 24
96 812 33
97 465 39
98 341 15
99 995 24
100 385 54
101 44 21
102 985 15
103 302 36
104 1710 3
105 1119 60
106 557 27
107 1016 12
108 869 12
109 632 30
110 2219 60
111 766 51
112 572 6
113 1303 6
114 1845 51
115 114 78
116 1915 63
117 1530 42
118 1393 60
119 568 3
120 423 6
121 1115 57
122 813 39
123 184 18
124 1499 33
125 1219 45
126 789 6
127 1264 18
128 2059 75
129 1477 84
130 1289 6
131 1337 15
132 1341 84
133 1455 6
134 1901 84
135 647 81
136 1820 54
137 1793 36
138 1367 33
139 486 39
140 965 63
141 1403 54
142 1555 21
143 1520 72
144 152 75
145 654 69
146 967 15
147 1195 57
148 1425 24
149 1788 66
150 2065 12
151 709 3
152 1598 15
153 1760 6
154 2000 15
155 226 63
156 1192 24
157 1381 60
158 2272 24
159 2033 6
160 247 51
161 1661 81
162 2155 27
163 379 45
164 2098 48
165 1283 75
166 1884 81
167 118 60
168 2199 54
169 1958 78
170 1553 27
171 829 21
172 2276 66
173 2047 78
174 158 84
175 1032 27
176 39 27
177 1185 12
178 1026 63
179 1780 33
180 792 6
181 970 36
182 417 84
183 2054 45
184 616 12
185 384 9
186 1410 75
187 1912 81
188 1352 84
189 984 75
190 1833 6
191 1967 60
192 1713 72
193 1787 24
194 1306 63
195 1068 45
196 583 81
197 1977 54
198 172 84
199 897 24
200 702 9
201 872 21
202 1919 78
203 918 69
204 2064 6
205 728 39
206 1707 75
207 1551 18
208 1949 51
209 1796 15
210 1466 63
211 1138 81
212 351 63
213 1718 9
214 406 21
215 256 48
216 1264 15
217 114 6
218 251 15
219 2208 57
220 377 39
221 600 75
222 2187 51
223 1833 33
224 2069 6
225 2161 60
226 2021 63
227 766 33
228 153 15
229 286 57
230 1455 69
231 1141 42
232 1461 36
233 2066 72
234 1304 12
235 1920 9
236 1135 33
237 829 57
238 1290 6
239 1841 51
240 2205 54
241 1215 57
242 945 81
243 1446 57
244 2284 57
245 2032 24
246 500 45
247 1445 75
248 2302 6
249 1749 78
250 1811 57
251 1010 3
252 2117 60
253 703 54
254 1562 48
255 1742 36
256 1355 60
257 913 18
258 2301 21
259 649 18
260 373 39
261 545 48
262 79 54
263 1664 36
264 1658 6
265 1755 39
266 242 21
267 2035 3
268 430 21
269 148 78
270 1218 15
271 2206 36
272 367 72
273 287 48
274 275 12
275 298 36
276 1572 54
277 875 42
278 459 15
279 1640 18
280 1834 30
281 2156 3
282 2040 30
283 2276 9
284 2293 18
285 1499 75
286 2307 18
287 1093 51
288 2057 6
289 1932 72
290 1746 6
291 2124 18
292 344 54
293 139 63
294 1370 48
295 257 48
296 1535 3
297 312 51
298 249 78
299 367 42
300 1332 12
301 1702 21
302 1567 24
303 1081 84
304 1270 39
305 994 72
306 96 6
307 1757 84
308 1033 63
309 1505 24
310 2005 21
311 674 63
312 1201 78
313 2134 57
314 240 27
315 1221 33
316 74 42
317 112 9
318 2284 69
319 729 81
320 18 51
321 767 24
322 2036 36
323 1050 6
324 1613 84
